station_code,measurement_datetime,stage_cm,discharge_m3s
70100000,2004-10-28 15:10:00,35.0,4.98
70100000,2005-07-08 10:15:00,42.0,11.3
70100000,2005-07-27 15:40:00,55.0,16.3
70100000,2005-10-17 17:55:00,200.5,133.0
70100000,2006-09-05 14:00:00,34.0,5.61
70100000,2007-07-04 10:55:00,24.0,3.09
70100000,2007-10-19 13:00:00,46.0,11.4
70100000,2008-05-08 08:30:00,67.0,22.3
70100000,2008-08-30 11:00:00,260.0,2.37
70100000,2008-11-28 11:15:00,65.5,14.4
70100000,2009-05-07 09:00:00,22.0,2.06
70100000,2009-08-14 13:30:00,54.0,13.3
70100000,2009-11-13 11:05:00,39.0,8.44
70100000,2010-04-06 10:00:00,57.0,17.4
70100000,2010-07-07 11:00:00,31.0,5.04
70100000,2010-09-24 09:20:00,117.0,54.3
70100000,2011-01-20 16:10:00,98.5,43.5
70100000,2011-04-28 09:40:00,31.0,4.68
70100000,2011-07-25 09:15:00,62.0,24.2
